District,Average_Price
Alsterdorf,6488.404638144742
Altona-Altstadt,6030.63178047224
Bahrenfeld,6421.194153316421
Barmbek-Nord,3515.625
Barmbek-Süd,6395.833333333334
Bergedorf,3634.1341769265846
Billstedt,2978.884078884079
Bramfeld,3212.9963898916967
Eidelstedt,3128.0731846769586
Eilbek,4324.943438914027
Eimsbüttel,5411.160714285714
Eißendorf,3450.6716072255676
Eppendorf,7194.873997605994
Groß Borstel,3166.2995594713657
Harburg,3582.2021116138762
Harvestehude,9592.379264510411
Hoheluft-West,4671.477905760847
Iserbrook,3390.243902439024
Jenfeld,4400.917473426415
Langenhorn,2893.2038834951454
Lohbrügge,2260.6382978723404
Marienthal,4287.692307692308
Niendorf,3863.2030191436133
Osdorf,3109.0526200634504
Othmarschen,4912.207357859532
Ottensen,6027.435222391576
Rahlstedt,3006.814449917898
Rothenburgsort,3820.5128205128203
Rotherbaum,10512.625489195168
Schnelsen,3403.8461538461543
Stellingen,4339.39393939394
Tonndorf,3534.246575342466
Wandsbek,4321.621621621622
Wellingsbüttel,3763.946782408615
Wilstorf,2433.9622641509436
Winterhude,5074.497212931996
